amfi_code,scheme_name,fund_house,category,risk_category,return_1yr_pct,return_3yr_pct,return_5yr_pct,sharpe_ratio,expense_ratio_pct,aum_crore,morningstar_rating
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,High,14.88,15.18,18.94,0.8,1.38,28996,5
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Very High,21.97,20.98,22.62,0.84,1.38,21545,4
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Moderate,14.82,13.78,12.86,0.98,1.6,23500,5
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Very High,24.93,22.38,23.8,0.9,1.53,41613,5
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Low,6.18,5.14,7.95,5.14,0.79,38995,5
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Moderate,13.76,12.1,11.31,0.93,1.57,7350,4
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,High,16.3,15.61,15.86,0.82,1.51,41728,5
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Moderately High,17.43,15.34,15.78,0.96,1.64,17912,5
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Moderate,15.12,14.81,12.68,1.06,1.46,11361,5
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Moderately High,14.91,14.56,15.68,0.91,1.52,49046,5
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,High,11.16,13.58,14.26,0.8,1.6,2989,5
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Moderate,11.96,12.82,12.35,0.92,1.54,41828,5
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,High,14.12,17.16,19.0,0.9,1.61,37835,4
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Very High,20.2,20.08,20.61,0.8,1.52,35124,4
